id_aluno,genero,ano_nasc,ano_ingresso,tipo_instituicao,pedra,inde,cf,ct,n_av,avaliador_1,rec_av_1,avaliador_2,rec_av_2,avaliador_3,rec_av_3,avaliador_4,rec_av_4,iaa,ieg,ips,rec_psicologia,ida,matem,portug,ingles,indicado_bolsa,ipv,ian,destaque_ieg,destaque_ida,destaque_ipv,ano,ipp,avaliador_5,avaliador_6,escola,fase,fase_ideal,fase_grupo,idade,tempo_vinculo,defas,atingiu_pv,em_risco
1034,1,2013.0,2023,Pública,Topázio,8.0333666666,,,3.0,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,7.502,8.0833333335,7.51,,7.5,7.5,7.5,,,8.223333333,10.0,,,,2024,7.708333333,,,EE Alexandre Rodrigues Nogueira,2.0,2.0,fase_0_7,11.0,1,0.0,False,False
1035,1,2014.0,2023,Pública,Agata,6.888833333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,0.0,8.3,7.52,,5.8,4.0,7.5,,,7.78,10.0,,,,2023,7.708333333,,,,1.0,1.0,fase_0_7,9.0,0,0.0,False,False
1035,1,2014.0,2023,Pública,Ametista,7.833495454500001,,,2.0,Avaliador-3,,Avaliador-15,,,,,,9.502,9.0227272725,7.51,,7.0,6.5,7.5,,,7.92,5.0,,,,2024,8.4375,,,EE Dom Pedro Villas Boas de Souza,1.0,2.0,fase_0_7,10.0,1,-1.0,False,True
1036,0,2012.0,2023,Pública,Agata,6.970583333,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,0.0,9.6,3.77,,8.0,9.0,7.0,,,8.336666667,5.0,,,,2023,9.0625,,,,1.0,2.0,fase_0_7,11.0,0,-1.0,False,True
1036,0,2012.0,2023,Pública,Topázio,8.2841303831,,,4.0,Avaliador-19,,Avaliador-17,,Avaliador-25,,Avaliador-2,,10.002,9.0890269155,7.51,,7.0,7.0,7.0,,,7.7475,10.0,,,,2024,7.65625,,,EE João Ortiz Rodrigues,2.0,2.0,fase_0_7,12.0,1,0.0,False,False
1037,1,2012.0,2023,Pública,Ametista,7.655575,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,8.4,7.52,,6.7,5.0,8.3,,,8.17,5.0,,,,2023,8.59375,,,,1.0,2.0,fase_0_7,11.0,0,-1.0,False,True
1038,0,2013.0,2023,Privada,Ametista,7.736825,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.0,9.3,7.52,,6.5,7.5,5.5,,,8.17,5.0,,,,2023,8.90625,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1038,0,2013.0,2023,Pública,Ametista,7.9646385965,,,3.0,Avaliador-19,,Avaliador-17,,Avaliador-2,,,,8.002,7.5438596495,7.51,,8.5,10.0,7.0,,,7.273333333,10.0,,,,2024,7.5,,,EE Dom Pedro Villas Boas de Souza,2.0,2.0,fase_0_7,11.0,1,0.0,False,False
1039,1,2011.0,2023,Pública,Ametista,7.686033333,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.0,9.9,7.52,,6.2,6.0,6.3,,,8.056666667,5.0,,,,2023,8.125,,,,1.0,3.0,fase_0_7,12.0,0,-2.0,False,True
1039,1,2011.0,2023,Pública,Ametista,7.549644444400001,,,3.0,Avaliador-19,,Avaliador-17,,Avaliador-2,,,,8.002,9.722222222,7.51,,7.25,8.0,6.5,,,6.77,5.0,,,,2024,7.5,,,EE Joaquim Mendes Feliz,2.0,3.0,fase_0_7,13.0,1,-1.0,False,True
