id_aluno,ano,ieg,ida,ipv
319,2023,9.2,7.2,8.88
319,2024,9.024122807,5.833333333333333,7.666666667
320,2022,10.0,6.4,8.667
320,2023,9.9,5.5,8.96
320,2024,10.0,6.666666666666667,8.3775
321,2022,9.1,5.2,8.278
321,2023,9.4,6.2,8.42
321,2024,9.534706331,7.166666666666667,7.776666667
322,2022,8.1,4.7,6.778
322,2023,8.3,5.3,8.045
323,2022,7.3,3.4,6.611
324,2022,9.3,6.8,8.611
324,2023,9.0,8.4,7.5875
325,2022,6.8,6.0,8.444
325,2023,7.1,5.6,7.0025
325,2024,9.866666666666667,7.0,7.553333333
326,2022,9.7,9.0,8.944
326,2023,9.4,8.2,9.76
326,2024,8.973112128333334,9.333333333333334,8.704
327,2022,8.8,2.8,7.333
328,2022,7.0,5.3,7.5
329,2022,6.9,5.0,5.778
330,2022,8.8,2.5,7.056
330,2023,7.2,3.3,5.8275
331,2022,8.7,3.7,6.944
331,2023,8.6,5.2,6.7975
331,2024,7.735353535333334,3.5,5.62
332,2022,9.0,7.5,8.5
332,2023,8.4,6.8,9.175
332,2024,7.605358505000001,7.0,8.706
333,2022,5.8,2.9,6.722
334,2022,9.2,8.0,8.722
335,2022,9.4,7.4,6.833
336,2022,8.5,5.1,7.889
336,2023,7.5,5.1,7.255
336,2024,5.512100409000001,5.833333333333333,7.196
337,2022,9.3,5.8,7.611
338,2022,7.3,5.8,7.611
338,2023,9.1,6.7,8.38
338,2024,7.441643324,6.833333333333333,8.8375
339,2022,9.9,8.1,8.889
339,2023,8.9,7.1,8.255
339,2024,7.155537064000001,8.166666666666666,7.668
340,2022,8.2,6.5,7.667
340,2023,9.6,8.9,8.505
340,2024,6.585769980666666,5.166666666666667,5.83
341,2022,7.7,5.8,7.5
342,2022,6.7,6.6,7.5
342,2023,8.6,6.6,8.505
342,2024,7.728174603333334,4.5,7.723333333
343,2022,7.4,5.9,7.167
343,2023,7.2,5.7,6.9225
344,2022,8.3,4.5,7.5
345,2022,5.4,3.6,6.667
345,2023,6.8,4.6,7.1725
346,2022,9.1,7.0,7.889
346,2023,9.4,6.2,7.84
346,2024,9.149206349333332,6.166666666666667,8.2525
347,2022,10.0,8.5,8.0
347,2023,9.5,7.3,7.7925
347,2024,9.673046252,7.666666666666667,7.766
348,2022,8.7,1.8,5.833
348,2023,8.7,4.4,8.0075
349,2022,7.7,3.7,3.944
350,2022,8.8,6.5,8.611
350,2023,9.7,9.0,7.92
351,2022,7.2,4.0,8.111
352,2022,8.1,7.0,8.389
352,2023,8.1,7.2,7.17
352,2024,4.453748006333333,3.1666666666666665,6.7925
353,2022,10.0,7.5,8.444
353,2023,9.9,8.4,8.67
354,2022,4.3,4.5,7.333
355,2022,5.0,4.5,6.056
356,2022,8.4,4.6,8.278
356,2023,8.5,3.4,6.5025
356,2024,6.656346749333334,5.333333333333333,6.5375
357,2022,9.6,8.5,7.778
357,2023,9.6,8.7,8.23
357,2024,9.028180354333331,7.666666666666667,7.0825
358,2022,6.5,0.0,7.556
359,2022,7.0,4.6,7.5
359,2023,9.2,5.8,8.255
359,2024,7.162698412666667,5.5,8.333333333
360,2022,8.5,5.2,7.5
360,2023,7.3,4.3,7.4225
360,2024,5.618045113,5.833333333333333,6.993333333
361,2022,9.2,5.0,6.778
362,2022,7.9,7.9,7.5
362,2023,7.5,5.1,7.0875
363,2022,10.0,2.0,7.056
363,2023,9.9,6.8,8.673333333
363,2024,9.523809524,5.333333333333333,6.955
364,2022,10.0,8.8,8.167
364,2023,9.0,5.8,7.505
364,2024,9.526143791,7.5,7.2075
365,2022,10.0,7.8,7.833
365,2023,9.9,8.7,8.953333333
365,2024,10.0,6.666666666666667,8.202
366,2022,9.4,5.5,6.833
367,2022,7.4,6.7,7.5
367,2023,8.7,5.9,7.7925
367,2024,7.268170426,5.0,7.6275
368,2022,7.9,7.3,7.5
368,2023,7.7,6.7,7.34
368,2024,6.166666666666667,7.0,6.7025
369,2022,6.9,4.8,6.889
369,2023,4.1,4.0,7.726666667
369,2024,4.908119658333334,1.6666666666666667,5.428
370,2022,8.2,7.2,7.611
371,2022,8.0,8.4,7.667
372,2022,5.5,7.8,7.389
373,2022,9.5,7.3,6.944
373,2023,9.7,8.4,7.84
374,2022,9.8,6.9,7.944
374,2023,8.3,5.4,7.9175
375,2022,9.5,5.4,7.667
375,2023,9.9,7.9,8.283333333
375,2024,9.443589743666667,6.833333333333333,6.432
376,2022,9.0,4.3,7.5
376,2023,9.6,5.9,8.226666667
376,2024,8.287284610666667,2.833333333333333,6.325
377,2022,7.7,6.2,6.833
